fantaking_id,name,team,position,rank,fpt,quotation,plus,pts,reb,ast,stl,tov,blk,blka,fd,pf,fg_missed,ft_missed,win_1-10,win_11-20,win_20,win_ot,loss_1-10,loss_11-20,loss_20,loss_ot,captured_at
7201,D. Bacon,DUB,Forward,1,34.1,12.7,0.8,24.0,5.0,4.0,0.0,1.0,0.0,0.0,5.0,1.0,4.0,1.0,,,,,,,,,2026-09-25T12:34:50.825366+00:00
3766,S. Vezenkov,OLY,Forward,2,33.0,17.0,0.6,22.0,5.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,2.0,0.0,,,,,,,,,2026-09-25T12:34:50.825366+00:00
3857,D. Oturu,HTA,Center,3,32.0,14.2,0.7,20.0,12.0,3.0,2.0,3.0,2.0,0.0,1.0,4.0,1.0,0.0,,,,,,,,,2026-09-25T12:34:50.825366+00:00
3874,T. Dorsey,OLY,Guard,4,31.9,12.6,0.7,25.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,,,,,,,,,2026-09-25T12:34:50.825366+00:00
3768,M. Lessort,PAO,Center,5,30.8,14.4,0.6,15.0,9.0,2.0,2.0,4.0,3.0,1.0,9.0,1.0,5.0,1.0,,,,,,,,,2026-09-25T12:34:50.825366+00:00
11516,J. Crowder,ASV,Forward,6,27.5,9.5,0.7,19.0,4.0,4.0,1.0,1.0,1.0,0.0,4.0,2.0,4.0,1.0,,,,,,,,,2026-09-25T12:34:50.825366+00:00
11549,J. Valanciunas,ZAL,Center,7,26.4,15.5,0.4,13.0,8.0,2.0,0.0,1.0,3.0,0.0,3.0,1.0,3.0,0.0,,,,,,,,,2026-09-25T12:34:50.825366+00:00
11487,D. Saric,EFS,Forward,8,26.0,14.5,0.4,17.0,5.0,2.0,0.0,1.0,0.0,0.0,7.0,0.0,3.0,1.0,,,,,,,,,2026-09-25T12:34:50.825366+00:00
7221,A. Tubelis,ZAL,Forward,9,25.3,11.1,0.5,10.0,12.0,4.0,1.0,1.0,1.0,0.0,4.0,0.0,6.0,2.0,,,,,,,,,2026-09-25T12:34:50.825366+00:00
4247,C. Jones,CZV,Guard,10,25.0,12.1,0.5,15.0,2.0,8.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,,,,,,,,,2026-09-25T12:34:50.825366+00:00
3794,K. Punter,BAR,Guard,11,24.2,13.6,0.4,19.0,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,5.0,0.0,,,,,,,,,2026-09-25T12:34:50.825366+00:00
3765,M. James,EFS,Guard,12,24.0,16.0,0.3,22.0,4.0,5.0,0.0,5.0,1.0,0.0,6.0,2.0,6.0,1.0,,,,,,,,,2026-09-25T12:34:50.825366+00:00
11504,J. Thiemann,BAY,Center,13,22.0,10.6,0.4,15.0,7.0,1.0,0.0,2.0,0.0,0.0,5.0,2.0,3.0,1.0,,,,,,,,,2026-09-25T12:34:50.825366+00:00
4252,J. Montero,OLY,Guard,14,20.9,12.8,0.3,15.0,5.0,5.0,1.0,3.0,0.0,0.0,3.0,0.0,6.0,1.0,,,,,,,,,2026-09-25T12:34:50.825366+00:00
3946,A. Obst,BAY,Guard,15,20.9,10.2,0.4,19.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,1.0,,,,,,,,,2026-09-25T12:34:50.825366+00:00
3812,J. Hoard,MTA,Forward,16,20.0,14.8,0.2,15.0,6.0,0.0,3.0,1.0,0.0,0.0,4.0,3.0,4.0,0.0,,,,,,,,,2026-09-25T12:34:50.825366+00:00
3868,Z. Obradovic,PAO,Head Coach,17,20.0,10.0,0.3,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-25T12:34:50.825366+00:00
3885,G. Bartzokas,OLY,Head Coach,18,20.0,10.0,0.3,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-25T12:34:50.825366+00:00
3887,S. Francisco,PAO,Guard,19,19.8,14.8,0.1,18.0,2.0,4.0,0.0,4.0,0.0,0.0,3.0,0.0,5.0,0.0,,,,,,,,,2026-09-25T12:34:50.825366+00:00
11514,P. Mills,ASV,Guard,20,19.8,12.3,0.3,15.0,1.0,3.0,0.0,2.0,0.0,0.0,5.0,0.0,4.0,0.0,,,,,,,,,2026-09-25T12:34:50.825366+00:00
3883,J. Voigtmann,BAY,Center,21,18.7,7.5,0.4,10.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,2026-09-25T12:34:50.825366+00:00
11521,M. Fodzo Dada,ASV,Guard,22,18.7,4.8,0.5,14.0,1.0,5.0,2.0,4.0,1.0,0.0,6.0,2.0,1.0,5.0,,,,,,,,,2026-09-25T12:34:50.825366+00:00
3967,D. Brizuela,BAR,Guard,23,17.6,6.4,0.4,20.0,2.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,2.0,1.0,,,,,,,,,2026-09-25T12:34:50.825366+00:00
11512,A. Lawson,KBA,Guard,24,17.0,8.8,0.3,20.0,4.0,2.0,0.0,1.0,0.0,0.0,4.0,3.0,8.0,1.0,,,,,,,,,2026-09-25T12:34:50.825366+00:00
3870,T. Jones,OLY,Center,25,16.5,12.0,0.1,12.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,,,,,,,,,2026-09-25T12:34:50.825366+00:00
7362,U. Gibson,BAR,Guard,26,16.5,10.2,0.2,10.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,,,,2026-09-25T12:34:50.825366+00:00
3910,R. Sorkin,MTA,Center,27,16.0,13.4,0.1,13.0,5.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,3.0,1.0,,,,,,,,,2026-09-25T12:34:50.825366+00:00
3850,T. Maledon,RMB,Guard,28,16.0,9.8,0.2,11.0,4.0,6.0,1.0,0.0,1.0,1.0,3.0,3.0,5.0,1.0,,,,,,,,,2026-09-25T12:34:50.825366+00:00
3930,Y. Madar,MTA,Guard,29,16.0,8.8,0.3,13.0,3.0,8.0,0.0,4.0,0.0,1.0,4.0,1.0,4.0,2.0,,,,,,,,,2026-09-25T12:34:50.825366+00:00
3914,N. Williams-Goss,ZAL,Guard,30,15.4,9.7,0.2,14.0,2.0,6.0,2.0,3.0,0.0,1.0,2.0,1.0,7.0,0.0,,,,,,,,,2026-09-25T12:34:50.825366+00:00
3980,A. Balcerowski,BAR,Center,31,15.4,8.0,0.3,10.0,4.0,2.0,0.0,1.0,1.0,0.0,3.0,4.0,1.0,0.0,,,,,,,,,2026-09-25T12:34:50.825366+00:00
3836,K. Mitoglou,PAO,Forward,32,15.4,5.5,0.4,11.0,6.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,4.0,0.0,,,,,,,,,2026-09-25T12:34:50.825366+00:00
